,Data,Ora,Competizione,Girone,Giorno,Stadio,Risultato,Rf,Rs,Avversario,xG,xGA,Poss.,Spettatori,Capitano,Formazione,Arbitro,Report partita,Note,Tiri,Dist.,Pun.,Rigori,Rig T,Stagione,Squadra
29,23-02-2024,20:45,Serie A,Giornata n. 26,Ven,Casa,V,2,0,Hellas Verona,1.6,0.6,58.0,,Riccardo Orsolini,4-2-3-1,Rosario Abisso,Report partita,,12.0,132.0,0.0,0,0,2024,Bologna
30,03-03-2024,18:00,Serie A,Giornata n. 27,Dom,Ospiti,V,2,1,Atalanta,1.3,1.4,45.0,,Lewis Ferguson,4-1-4-1,Federico La Penna,Report partita,,10.0,225.0,0.0,1,1,2024,Bologna
31,09-03-2024,18:00,Serie A,Giornata n. 28,Sab,Casa,P,0,1,Inter,0.6,0.9,60.0,,Lewis Ferguson,4-1-4-1,Luca Pairetto,Report partita,,18.0,224.0,1.0,0,0,2024,Bologna
32,15-03-2024,20:45,Serie A,Giornata n. 29,Ven,Ospiti,V,1,0,Empoli,2.3,1.0,71.0,,Lewis Ferguson,4-3-3,Michael Fabbri,Report partita,,20.0,156.0,0.0,0,0,2024,Bologna
33,01-04-2024,12:30,Serie A,Giornata n. 30,Lun,Casa,V,3,0,Salernitana,1.6,0.6,70.0,,Lewis Ferguson,4-1-4-1,Ermanno Feliciani,Report partita,,14.0,175.0,1.0,0,0,2024,Bologna
0,20-08-2023,18:30,Serie A,Giornata n. 1,Dom,Casa,N,2,2,Salernitana,1.9,0.1,60.0,62.05,Gianluca Mancini,3-1-4-2,Ermanno Feliciani,Report partita,,13.0,153.0,1.0,0,0,2024,Roma
1,26-08-2023,20:45,Serie A,Giornata n. 2,Sab,Ospiti,P,1,2,Hellas Verona,1.5,0.7,71.0,23.147,Lorenzo Pellegrini,3-5-2,Daniele Doveri,Report partita,,23.0,173.0,2.0,0,0,2024,Roma
2,01-09-2023,20:45,Serie A,Giornata n. 3,Ven,Casa,P,1,2,Milan,0.7,1.5,44.0,61.69,Gianluca Mancini,3-5-2,Antonio Rapuano,Report partita,,13.0,216.0,1.0,0,0,2024,Roma
3,17-09-2023,20:45,Serie A,Giornata n. 4,Dom,Casa,V,7,0,Empoli,2.4,0.2,53.0,61.443,Gianluca Mancini,3-5-2,Juan Sacchi,Report partita,,13.0,189.0,1.0,1,1,2024,Roma
5,24-09-2023,20:45,Serie A,Giornata n. 5,Dom,Ospiti,N,1,1,Torino,1.4,0.9,59.0,23.299,Gianluca Mancini,3-4-3,Marco Guida,Report partita,,11.0,158.0,0.0,0,0,2024,Roma
6,28-09-2023,20:45,Serie A,Giornata n. 6,Gio,Ospiti,P,1,4,Genoa,1.4,1.1,71.0,32.961,Lorenzo Pellegrini,3-4-3,Daniele Orsato,Report partita,,13.0,194.0,0.0,0,0,2024,Roma
7,01-10-2023,20:45,Serie A,Giornata n. 7,Dom,Casa,V,2,0,Frosinone,0.6,0.9,50.0,62.638,Lorenzo Pellegrini,3-4-3,Matteo Marchetti,Report partita,,11.0,161.0,0.0,0,0,2024,Roma
9,08-10-2023,18:00,Serie A,Giornata n. 8,Dom,Ospiti,V,4,1,Cagliari,2.6,1.7,43.0,16.307,Gianluca Mancini,3-5-2,Simone Sozza,Report partita,,11.0,164.0,1.0,0,0,2024,Roma
10,22-10-2023,12:30,Serie A,Giornata n. 9,Dom,Casa,V,1,0,Monza,1.7,0.4,52.0,62.022,Gianluca Mancini,3-5-2,Giovanni Ayroldi,Report partita,,21.0,160.0,1.0,0,0,2024,Roma
12,29-10-2023,18:00,Serie A,Giornata n. 10,Dom,Ospiti,P,0,1,Inter,0.1,2.2,37.0,75.573,Gianluca Mancini,3-5-2,Fabio Maresca,Report partita,,3.0,214.0,1.0,0,0,2024,Roma
13,05-11-2023,18:00,Serie A,Giornata n. 11,Dom,Casa,V,2,1,Lecce,2.0,0.8,60.0,64.79,Gianluca Mancini,3-4-3,Andrea Colombo,Report partita,,14.0,168.0,0.0,0,1,2024,Roma
15,12-11-2023,18:00,Serie A,Giornata n. 12,Dom,Ospiti,N,0,0,Lazio,0.4,0.4,51.0,63.0,Gianluca Mancini,3-5-1-1,Davide Massa,Report partita,,8.0,167.0,0.0,0,0,2024,Roma
16,26-11-2023,18:00,Serie A,Giornata n. 13,Dom,Casa,V,3,1,Udinese,1.4,0.5,64.0,61.015,Lorenzo Pellegrini,3-5-2,Luca Massimi,Report partita,,12.0,141.0,0.0,0,0,2024,Roma
18,03-12-2023,18:00,Serie A,Giornata n. 14,Dom,Ospiti,V,2,1,Sassuolo,2.3,0.8,66.0,19.113,Gianluca Mancini,3-5-2,Matteo Marcenaro,Report partita,,14.0,208.0,0.0,1,1,2024,Roma
19,10-12-2023,20:45,Serie A,Giornata n. 15,Dom,Casa,N,1,1,Fiorentina,0.7,1.5,35.0,60.932,Lorenzo Pellegrini,3-5-2,Antonio Rapuano,Report partita,,4.0,157.0,0.0,0,0,2024,Roma
21,17-12-2023,18:00,Serie A,Giornata n. 16,Dom,Ospiti,P,0,2,Bologna,0.6,0.5,45.0,25.579,Lorenzo Pellegrini,3-5-2,Marco Guida,Report partita,,8.0,199.0,1.0,0,0,2024,Roma
22,23-12-2023,20:45,Serie A,Giornata n. 17,Sab,Casa,V,2,0,Napoli,1.9,0.7,41.0,62.141,Gianluca Mancini,3-5-2,Andrea Colombo,Report partita,,17.0,180.0,0.0,0,0,2024,Roma
23,30-12-2023,20:45,Serie A,Giornata n. 18,Sab,Ospiti,P,0,1,Juventus,0.5,1.1,57.0,41.503,Gianluca Mancini,3-5-2,Simone Sozza,Report partita,,11.0,206.0,0.0,0,0,2024,Roma
25,07-01-2024,20:45,Serie A,Giornata n. 19,Dom,Casa,N,1,1,Atalanta,2.1,0.7,56.0,60.022,Lorenzo Pellegrini,3-5-2,Gianluca Aureliano,Report partita,,15.0,174.0,0.0,1,1,2024,Roma
27,14-01-2024,20:45,Serie A,Giornata n. 20,Dom,Ospiti,P,1,3,Milan,1.4,1.5,52.0,74.198,Gianluca Mancini,3-5-2,Marco Guida,Report partita,,11.0,219.0,1.0,1,1,2024,Roma
28,20-01-2024,18:00,Serie A,Giornata n. 21,Sab,Casa,V,2,1,Hellas Verona,0.9,1.1,62.0,,Lorenzo Pellegrini,4-3-2-1,Juan Sacchi,Report partita,,9.0,168.0,0.0,0,0,2024,Roma
29,29-01-2024,20:45,Serie A,Giornata n. 22,Lun,Ospiti,V,2,1,Salernitana,1.6,1.2,61.0,,Lorenzo Pellegrini,4-3-3,Marco Di Bello,Report partita,,4.0,191.0,1.0,1,1,2024,Roma
30,05-02-2024,20:45,Serie A,Giornata n. 23,Lun,Casa,V,4,0,Cagliari,2.5,0.6,53.0,61.755,Lorenzo Pellegrini,4-3-3,Matteo Marcenaro,Report partita,,19.0,124.0,0.0,1,1,2024,Roma
31,10-02-2024,18:00,Serie A,Giornata n. 24,Sab,Casa,P,2,4,Inter,0.7,0.9,47.0,,Lorenzo Pellegrini,4-3-3,Marco Guida,Report partita,,8.0,147.0,0.0,0,0,2024,Roma
33,18-02-2024,18:00,Serie A,Giornata n. 25,Dom,Ospiti,V,3,0,Frosinone,1.8,1.4,57.0,,Gianluca Mancini,4-2-3-1,Antonio Giua,Report partita,,12.0,213.0,0.0,1,1,2024,Roma
35,26-02-2024,18:30,Serie A,Giornata n. 26,Lun,Casa,V,3,2,Torino,1.4,0.6,54.0,,Lorenzo Pellegrini,3-5-2,Juan Sacchi,Report partita,,5.0,177.0,0.0,1,1,2024,Roma
36,02-03-2024,18:00,Serie A,Giornata n. 27,Sab,Ospiti,V,4,1,Monza,1.8,0.9,51.0,,Lorenzo Pellegrini,4-3-3,Marco Piccinini,Report partita,,11.0,200.0,2.0,1,1,2024,Roma
38,10-03-2024,20:45,Serie A,Giornata n. 28,Dom,Ospiti,N,2,2,Fiorentina,0.6,2.1,67.0,,Gianluca Mancini,3-4-3,Davide Massa,Report partita,,10.0,172.0,0.0,0,0,2024,Roma
40,17-03-2024,18:00,Serie A,Giornata n. 29,Dom,Casa,V,1,0,Sassuolo,0.7,0.5,63.0,,Lorenzo Pellegrini,4-3-3,Gianluca Manganiello,Report partita,,10.0,160.0,0.0,0,0,2024,Roma
41,01-04-2024,18:00,Serie A,Giornata n. 30,Lun,Ospiti,N,0,0,Lecce,1.3,1.8,60.0,,Gianluca Mancini,4-3-3,Matteo Marcenaro,Report partita,,10.0,185.0,0.0,0,0,2024,Roma
0,20-08-2023,18:30,Serie A,Giornata n. 1,Dom,Ospiti,V,2.0,0.0,Sassuolo,1.3,0.4,51.0,12.298,Marten de Roon,3-5-2,Matteo Marchetti,Report partita,,16.0,171.0,0.0,0,0,2024,Atalanta
1,26-08-2023,18:30,Serie A,Giornata n. 2,Sab,Ospiti,P,1.0,2.0,Frosinone,1.6,0.7,63.0,13.426,Marten de Roon,3-4-1-2,Juan Sacchi,Report partita,,18.0,158.0,0.0,0,0,2024,Atalanta
2,02-09-2023,20:45,Serie A,Giornata n. 3,Sab,Casa,V,3.0,0.0,Monza,1.3,0.4,41.0,14.985,Marten de Roon,3-4-1-2,Matteo Marcenaro,Report partita,,18.0,167.0,0.0,0,0,2024,Atalanta
3,17-09-2023,18:00,Serie A,Giornata n. 4,Dom,Ospiti,P,2.0,3.0,Fiorentina,0.7,1.1,43.0,32.1,Rafael Tolói,3-4-1-2,Luca Pairetto,Report partita,,11.0,163.0,0.0,0,0,2024,Atalanta
5,24-09-2023,15:00,Serie A,Giornata n. 5,Dom,Casa,V,2.0,0.0,Cagliari,1.7,0.8,56.0,14.739,Marten de Roon,3-4-3,Ermanno Feliciani,Report partita,,10.0,146.0,0.0,0,0,2024,Atalanta
6,27-09-2023,18:30,Serie A,Giornata n. 6,Mer,Ospiti,V,1.0,0.0,Hellas Verona,1.2,0.5,49.0,15.936,Rafael Tolói,3-4-3,Federico Dionisi,Report partita,,8.0,166.0,0.0,0,0,2024,Atalanta
7,01-10-2023,18:00,Serie A,Giornata n. 7,Dom,Casa,N,0.0,0.0,Juventus,1.2,0.2,52.0,14.811,Rafael Tolói,3-4-3,Daniele Chiffi,Report partita,,15.0,169.0,1.0,0,0,2024,Atalanta
9,08-10-2023,15:00,Serie A,Giornata n. 8,Dom,Ospiti,P,2.0,3.0,Lazio,1.0,1.6,54.0,41.0,Marten de Roon,3-4-1-2,Daniele Orsato,Report partita,,12.0,155.0,1.0,0,0,2024,Atalanta
10,22-10-2023,18:00,Serie A,Giornata n. 9,Dom,Casa,V,2.0,0.0,Genoa,1.2,1.0,56.0,14.848,Rafael Tolói,3-4-3,Livio Marinelli,Report partita,,13.0,153.0,0.0,0,0,2024,Atalanta
12,30-10-2023,18:30,Serie A,Giornata n. 10,Lun,Ospiti,V,3.0,0.0,Empoli,1.6,0.3,56.0,7.825,Berat Djimsiti,3-4-1-2,Luca Massimi,Report partita,,18.0,163.0,0.0,0,0,2024,Atalanta
13,04-11-2023,18:00,Serie A,Giornata n. 11,Sab,Casa,P,1.0,2.0,Inter,1.0,1.3,54.0,14.945,Marten de Roon,3-4-1-2,Simone Sozza,Report partita,,14.0,144.0,0.0,0,0,2024,Atalanta
15,12-11-2023,15:00,Serie A,Giornata n. 12,Dom,Ospiti,N,1.0,1.0,Udinese,0.7,1.5,65.0,23.1,Marten de Roon,3-4-1-2,Gianluca Aureliano,Report partita,,8.0,108.0,0.0,0,0,2024,Atalanta
16,25-11-2023,18:00,Serie A,Giornata n. 13,Sab,Casa,P,1.0,2.0,Napoli,1.0,2.0,44.0,14.743,Berat Djimsiti,3-4-1-2,Maurizio Mariani,Report partita,,16.0,154.0,0.0,0,0,2024,Atalanta
18,04-12-2023,20:45,Serie A,Giornata n. 14,Lun,Ospiti,P,0.0,3.0,Torino,0.5,1.7,46.0,18.507,Marten de Roon,3-4-3,Marco Piccinini,Report partita,,10.0,250.0,0.0,0,0,2024,Atalanta
19,09-12-2023,18:00,Serie A,Giornata n. 15,Sab,Casa,V,3.0,2.0,Milan,3.3,1.5,42.0,14.907,Marten de Roon,3-4-1-2,Federico La Penna,Report partita,,19.0,121.0,0.0,0,0,2024,Atalanta
21,18-12-2023,20:45,Serie A,Giornata n. 16,Lun,Casa,V,4.0,1.0,Salernitana,1.9,1.3,51.0,14.264,Marten de Roon,3-4-1-2,Ermanno Feliciani,Report partita,,20.0,182.0,1.0,0,0,2024,Atalanta
22,23-12-2023,15:00,Serie A,Giornata n. 17,Sab,Ospiti,P,0.0,1.0,Bologna,1.2,0.7,40.0,28.082,Marten de Roon,3-4-1-2,Antonio Rapuano,Report partita,,12.0,155.0,0.0,0,0,2024,Atalanta
23,30-12-2023,12:30,Serie A,Giornata n. 18,Sab,Casa,V,1.0,0.0,Lecce,1.1,1.2,62.0,14.864,Marten de Roon,3-4-1-2,Gianluca Manganiello,Report partita,,17.0,145.0,0.0,0,0,2024,Atalanta
25,07-01-2024,20:45,Serie A,Giornata n. 19,Dom,Ospiti,N,1.0,1.0,Roma,0.7,2.1,44.0,60.022,Marten de Roon,3-4-3,Gianluca Aureliano,Report partita,,8.0,129.0,0.0,0,0,2024,Atalanta
27,15-01-2024,20:45,Serie A,Giornata n. 20,Lun,Casa,V,5.0,0.0,Frosinone,3.7,0.4,48.0,14.195,Marten de Roon,3-4-3,Alessandro Prontera,Report partita,,20.0,159.0,1.0,1,1,2024,Atalanta
28,27-01-2024,15:00,Serie A,Giornata n. 22,Sab,Casa,V,2.0,0.0,Udinese,1.1,0.6,58.0,,Marten de Roon,3-4-3,Marco Piccinini,Report partita,,14.0,156.0,0.0,0,0,2024,Atalanta
29,04-02-2024,18:00,Serie A,Giornata n. 23,Dom,Casa,V,3.0,1.0,Lazio,2.3,1.2,52.0,,Marten de Roon,3-4-1-2,Marco Guida,Report partita,,18.0,152.0,0.0,1,1,2024,Atalanta
30,11-02-2024,18:00,Serie A,Giornata n. 24,Dom,Ospiti,V,4.0,1.0,Genoa,2.1,0.8,45.0,,Marten de Roon,3-4-3,Andrea Colombo,Report partita,,14.0,163.0,1.0,0,0,2024,Atalanta
31,17-02-2024,20:45,Serie A,Giornata n. 25,Sab,Casa,V,3.0,0.0,Sassuolo,4.2,1.6,56.0,,Berat Djimsiti,3-4-1-2,Alessandro Prontera,Report partita,,27.0,138.0,0.0,0,0,2024,Atalanta
32,25-02-2024,20:45,Serie A,Giornata n. 26,Dom,Ospiti,N,1.0,1.0,Milan,1.1,1.3,32.0,,Marten de Roon,3-4-1-2,Daniele Orsato,Report partita,,7.0,184.0,0.0,1,1,2024,Atalanta
33,28-02-2024,20:45,Serie A,Giornata n. 21,Mer,Ospiti,P,0.0,4.0,Inter,0.3,2.0,41.0,,Berat Djimsiti,3-4-1-2,Andrea Colombo,Report partita,,6.0,208.0,0.0,0,0,2024,Atalanta
34,03-03-2024,18:00,Serie A,Giornata n. 27,Dom,Casa,P,1.0,2.0,Bologna,1.4,1.3,55.0,,Marten de Roon,3-4-1-2,Federico La Penna,Report partita,,11.0,156.0,0.0,0,0,2024,Atalanta
36,10-03-2024,18:00,Serie A,Giornata n. 28,Dom,Ospiti,N,2.0,2.0,Juventus,0.5,1.3,48.0,,Berat Djimsiti,3-4-3,Marco Guida,Report partita,,7.0,178.0,0.0,0,0,2024,Atalanta
38,30-03-2024,12:30,Serie A,Giornata n. 30,Sab,Ospiti,V,3.0,0.0,Napoli,0.9,1.6,39.0,,Marten de Roon,3-4-1-2,Luca Pairetto,Report partita,,12.0,179.0,0.0,0,0,2024,Atalanta
0,20-08-2023,20:45,Serie A,Giornata n. 1,Dom,Ospiti,P,1.0,2.0,Lecce,1.6,1.4,52.0,29.081,Ciro Immobile,4-3-3,Federico Dionisi,Report partita,,10.0,181.0,1.0,0,0,2024,Lazio
1,27-08-2023,20:45,Serie A,Giornata n. 2,Dom,Casa,P,0.0,1.0,Genoa,1.4,0.6,70.0,40.0,Ciro Immobile,4-3-3,Livio Marinelli,Report partita,,16.0,196.0,0.0,0,0,2024,Lazio
2,02-09-2023,20:45,Serie A,Giornata n. 3,Sab,Ospiti,V,2.0,1.0,Napoli,0.6,1.3,38.0,42.0,Ciro Immobile,4-3-3,Andrea Colombo,Report partita,,6.0,139.0,0.0,0,0,2024,Lazio
3,16-09-2023,15:00,Serie A,Giornata n. 4,Sab,Ospiti,P,1.0,3.0,Juventus,0.6,2.2,64.0,40.652,Ciro Immobile,4-3-3,Fabio Maresca,Report partita,,16.0,198.0,1.0,0,0,2024,Lazio
5,23-09-2023,20:45,Serie A,Giornata n. 5,Sab,Casa,N,1.0,1.0,Monza,1.0,1.2,49.0,36.0,Ciro Immobile,4-3-3,Rosario Abisso,Report partita,,7.0,237.0,0.0,1,1,2024,Lazio
6,27-09-2023,20:45,Serie A,Giornata n. 6,Mer,Casa,V,2.0,0.0,Torino,0.9,0.3,51.0,35.1,Ciro Immobile,4-3-3,Michael Fabbri,Report partita,,6.0,145.0,0.0,0,0,2024,Lazio
7,30-09-2023,18:00,Serie A,Giornata n. 7,Sab,Ospiti,P,0.0,2.0,Milan,0.5,2.2,49.0,72.035,Luis Alberto Romero Alconchel,4-3-3,Davide Massa,Report partita,,13.0,227.0,0.0,0,0,2024,Lazio
9,08-10-2023,15:00,Serie A,Giornata n. 8,Dom,Casa,V,3.0,2.0,Atalanta,1.6,1.0,46.0,41.0,Luis Alberto Romero Alconchel,4-3-3,Daniele Orsato,Report partita,,12.0,218.0,1.0,0,0,2024,Lazio
10,21-10-2023,20:45,Serie A,Giornata n. 9,Sab,Ospiti,V,2.0,0.0,Sassuolo,2.3,0.5,49.0,15.597,Luis Alberto Romero Alconchel,4-3-3,Marco Di Bello,Report partita,,18.0,152.0,0.0,0,0,2024,Lazio
12,30-10-2023,20:45,Serie A,Giornata n. 10,Lun,Casa,V,1.0,0.0,Fiorentina,1.9,0.4,48.0,35.0,Luis Alberto Romero Alconchel,4-3-3,Matteo Marcenaro,Report partita,,10.0,164.0,0.0,1,1,2024,Lazio
13,03-11-2023,20:45,Serie A,Giornata n. 11,Ven,Ospiti,P,0.0,1.0,Bologna,0.5,0.6,50.0,24.178,Luis Alberto Romero Alconchel,4-3-3,Federico La Penna,Report partita,,11.0,186.0,0.0,0,0,2024,Lazio
15,12-11-2023,18:00,Serie A,Giornata n. 12,Dom,Casa,N,0.0,0.0,Roma,0.4,0.4,49.0,63.0,Ciro Immobile,4-3-3,Davide Massa,Report partita,,7.0,221.0,0.0,0,0,2024,Lazio
16,25-11-2023,15:00,Serie A,Giornata n. 13,Sab,Ospiti,P,1.0,2.0,Salernitana,2.0,1.7,62.0,16.7,Ciro Immobile,4-3-3,Alessandro Prontera,Report partita,,12.0,203.0,1.0,1,1,2024,Lazio
18,02-12-2023,18:00,Serie A,Giornata n. 14,Sab,Casa,V,1.0,0.0,Cagliari,2.0,0.6,60.0,37.0,Ciro Immobile,4-3-3,Federico Dionisi,Report partita,,10.0,152.0,2.0,0,0,2024,Lazio
20,09-12-2023,15:00,Serie A,Giornata n. 15,Sab,Ospiti,N,1.0,1.0,Hellas Verona,1.0,1.0,71.0,28.311,Ciro Immobile,4-3-3,Giovanni Ayroldi,Report partita,,14.0,171.0,0.0,0,0,2024,Lazio
22,17-12-2023,20:45,Serie A,Giornata n. 16,Dom,Casa,P,0.0,2.0,Inter,1.5,1.6,48.0,59.0,Ciro Immobile,4-3-3,Fabio Maresca,Report partita,,13.0,148.0,0.0,0,0,2024,Lazio
23,22-12-2023,18:30,Serie A,Giornata n. 17,Ven,Ospiti,V,2.0,0.0,Empoli,2.3,0.8,46.0,8.8,Ciro Immobile,4-3-3,Matteo Marchetti,Report partita,,14.0,146.0,0.0,0,0,2024,Lazio
24,29-12-2023,20:45,Serie A,Giornata n. 18,Ven,Casa,V,3.0,1.0,Frosinone,1.5,1.1,54.0,40.0,Adam Marušić,4-3-3,Ermanno Feliciani,Report partita,,13.0,145.0,1.0,0,0,2024,Lazio
25,07-01-2024,15:00,Serie A,Giornata n. 19,Dom,Ospiti,V,2.0,1.0,Udinese,0.5,0.7,53.0,23.033,Adam Marušić,4-3-3,Juan Sacchi,Report partita,,7.0,187.0,1.0,0,0,2024,Lazio
27,14-01-2024,12:30,Serie A,Giornata n. 20,Dom,Casa,V,1.0,0.0,Lecce,0.9,1.1,52.0,40.0,Luis Alberto Romero Alconchel,4-3-3,Maria Sole Ferrieri Caputi,Report partita,,8.0,169.0,0.0,0,0,2024,Lazio
29,28-01-2024,18:00,Serie A,Giornata n. 22,Dom,Casa,N,0.0,0.0,Napoli,0.5,0.2,39.0,,Danilo Cataldi,4-3-3,Daniele Orsato,Report partita,,10.0,219.0,0.0,0,0,2024,Lazio
30,04-02-2024,18:00,Serie A,Giornata n. 23,Dom,Ospiti,P,1.0,3.0,Atalanta,1.2,2.3,48.0,,Luis Alberto Romero Alconchel,4-3-3,Marco Guida,Report partita,,6.0,226.0,1.0,1,1,2024,Lazio
31,10-02-2024,15:00,Serie A,Giornata n. 24,Sab,Ospiti,V,3.0,1.0,Cagliari,1.3,0.8,55.0,,Ciro Immobile,4-3-3,Marco Di Bello,Report partita,,12.0,164.0,0.0,0,0,2024,Lazio
33,18-02-2024,12:30,Serie A,Giornata n. 25,Dom,Casa,P,1.0,2.0,Bologna,1.1,1.4,44.0,,Ciro Immobile,4-3-3,Fabio Maresca,Report partita,,12.0,190.0,0.0,0,0,2024,Lazio
34,22-02-2024,20:45,Serie A,Giornata n. 21,Gio,Ospiti,V,2.0,0.0,Torino,0.5,1.5,45.0,,Ciro Immobile,4-3-3,Federico La Penna,Report partita,,7.0,224.0,0.0,0,0,2024,Lazio
35,26-02-2024,20:45,Serie A,Giornata n. 26,Lun,Ospiti,P,1.0,2.0,Fiorentina,0.3,2.5,46.0,,Ciro Immobile,4-3-3,Marco Guida,Report partita,,5.0,130.0,0.0,0,0,2024,Lazio
36,01-03-2024,20:45,Serie A,Giornata n. 27,Ven,Casa,P,0.0,1.0,Milan,1.3,1.0,39.0,,Luis Alberto Romero Alconchel,4-3-3,Marco Di Bello,Report partita,,11.0,176.0,0.0,0,0,2024,Lazio
38,11-03-2024,20:45,Serie A,Giornata n. 28,Lun,Casa,P,1.0,2.0,Udinese,2.2,1.2,68.0,,Ciro Immobile,4-3-3,Gianluca Aureliano,Report partita,,18.0,185.0,1.0,0,0,2024,Lazio
39,16-03-2024,20:45,Serie A,Giornata n. 29,Sab,Ospiti,V,3.0,2.0,Frosinone,2.9,2.1,57.0,,Ciro Immobile,4-3-3,Antonio Rapuano,Report partita,,22.0,139.0,0.0,0,0,2024,Lazio
40,30-03-2024,18:00,Serie A,Giornata n. 30,Sab,Casa,V,1.0,0.0,Juventus,1.1,0.5,65.0,,Danilo Cataldi,4-4-2,Andrea Colombo,Report partita,,16.0,193.0,0.0,0,0,2024,Lazio
0,19-08-2023,18:30,Serie A,Giornata n. 1,Sab,Ospiti,V,3.0,1.0,Frosinone,1.5,0.9,52.0,15.822,Giovanni Di Lorenzo,4-3-3,Matteo Marcenaro,Report partita,,19.0,184.0,0.0,0,0,2024,Napoli
1,27-08-2023,20:45,Serie A,Giornata n. 2,Dom,Casa,V,2.0,0.0,Sassuolo,3.5,0.2,67.0,46.925,Giovanni Di Lorenzo,4-3-3,Antonio Giua,Report partita,,23.0,155.0,0.0,1,2,2024,Napoli
2,02-09-2023,20:45,Serie A,Giornata n. 3,Sab,Casa,P,1.0,2.0,Lazio,1.3,0.6,62.0,42.0,Giovanni Di Lorenzo,4-3-3,Andrea Colombo,Report partita,,22.0,177.0,1.0,0,0,2024,Napoli
3,16-09-2023,20:45,Serie A,Giornata n. 4,Sab,Ospiti,N,2.0,2.0,Genoa,0.9,1.2,66.0,33.275,Giovanni Di Lorenzo,4-3-3,Michael Fabbri,Report partita,,12.0,167.0,1.0,0,0,2024,Napoli
5,24-09-2023,18:00,Serie A,Giornata n. 5,Dom,Ospiti,N,0.0,0.0,Bologna,2.1,0.2,51.0,26.621,Giovanni Di Lorenzo,4-3-3,Giovanni Ayroldi,Report partita,,11.0,180.0,1.0,0,1,2024,Napoli
6,27-09-2023,20:45,Serie A,Giornata n. 6,Mer,Casa,V,4.0,1.0,Udinese,3.3,0.7,66.0,45.305,Giovanni Di Lorenzo,4-3-3,Gianluca Manganiello,Report partita,,22.0,175.0,1.0,1,1,2024,Napoli
7,30-09-2023,15:00,Serie A,Giornata n. 7,Sab,Ospiti,V,4.0,0.0,Lecce,2.5,0.5,56.0,27.588,Giovanni Di Lorenzo,4-3-3,Luca Pairetto,Report partita,,14.0,190.0,1.0,1,1,2024,Napoli
9,08-10-2023,20:45,Serie A,Giornata n. 8,Dom,Casa,P,1.0,3.0,Fiorentina,1.8,2.1,54.0,45.0,Giovanni Di Lorenzo,4-3-3,Federico La Penna,Report partita,,15.0,171.0,0.0,1,1,2024,Napoli
10,21-10-2023,15:00,Serie A,Giornata n. 9,Sab,Ospiti,V,3.0,1.0,Hellas Verona,2.3,1.3,60.0,20.549,Giovanni Di Lorenzo,4-3-3,Rosario Abisso,Report partita,,22.0,175.0,2.0,0,0,2024,Napoli
12,29-10-2023,20:45,Serie A,Giornata n. 10,Dom,Casa,N,2.0,2.0,Milan,1.7,2.0,48.0,54.0,Giovanni Di Lorenzo,4-3-3,Daniele Orsato,Report partita,,17.0,187.0,2.0,0,0,2024,Napoli
13,04-11-2023,15:00,Serie A,Giornata n. 11,Sab,Ospiti,V,2.0,0.0,Salernitana,1.4,0.3,58.0,16.812,Giovanni Di Lorenzo,4-3-3,Antonio Rapuano,Report partita,,21.0,183.0,0.0,0,0,2024,Napoli
15,12-11-2023,12:30,Serie A,Giornata n. 12,Dom,Casa,P,0.0,1.0,Empoli,0.9,0.5,65.0,50.5,Giovanni Di Lorenzo,4-2-3-1,Alessandro Prontera,Report partita,,18.0,182.0,0.0,0,0,2024,Napoli
16,25-11-2023,18:00,Serie A,Giornata n. 13,Sab,Ospiti,V,2.0,1.0,Atalanta,2.0,1.0,56.0,14.743,Giovanni Di Lorenzo,4-3-3,Maurizio Mariani,Report partita,,11.0,141.0,0.0,0,0,2024,Napoli
18,03-12-2023,20:45,Serie A,Giornata n. 14,Dom,Casa,P,0.0,3.0,Inter,0.6,2.7,57.0,55.0,Giovanni Di Lorenzo,4-3-3,Davide Massa,Report partita,,15.0,177.0,0.0,0,0,2024,Napoli
19,08-12-2023,20:45,Serie A,Giornata n. 15,Ven,Ospiti,P,0.0,1.0,Juventus,1.2,0.9,66.0,41.4,Giovanni Di Lorenzo,4-3-3,Daniele Orsato,Report partita,,13.0,177.0,0.0,0,0,2024,Napoli
21,16-12-2023,18:00,Serie A,Giornata n. 16,Sab,Casa,V,2.0,1.0,Cagliari,1.8,1.1,67.0,45.0,Giovanni Di Lorenzo,4-3-3,Matteo Marcenaro,Report partita,,21.0,142.0,1.0,0,0,2024,Napoli
23,23-12-2023,20:45,Serie A,Giornata n. 17,Sab,Ospiti,P,0.0,2.0,Roma,0.7,1.9,59.0,62.141,Giovanni Di Lorenzo,4-3-3,Andrea Colombo,Report partita,,7.0,161.0,0.0,0,0,2024,Napoli
24,29-12-2023,18:30,Serie A,Giornata n. 18,Ven,Casa,N,0.0,0.0,Monza,2.0,1.1,58.0,32.915,Giovanni Di Lorenzo,4-3-3,Marco Di Bello,Report partita,,25.0,169.0,0.0,0,0,2024,Napoli
25,07-01-2024,15:00,Serie A,Giornata n. 19,Dom,Ospiti,P,0.0,3.0,Torino,1.0,2.1,50.0,23.96,Giovanni Di Lorenzo,4-3-3,Maurizio Mariani,Report partita,,10.0,144.0,0.0,0,0,2024,Napoli
